Date,PeriodLabel,Year,MonthNumber,ActualValue,IndexedValue,AnnualMovementValue,CommonIndexBaseDate,IndicatorSort,Indicator,IndicatorLabel,Unit
2003-06-01,2003-06,2003,6,0.051,87.93103448275862,-0.0010000000000000078,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2003-07-01,2003-07,2003,7,120494.0,154.578576010263,0.145,2000-01-01,1,UK average house price,Index: house price,GBP
2003-07-01,2003-07,2003,7,351.0,115.08196721311475,0.029325513196480912,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2003-07-01,2003-07,2003,7,0.051,87.93103448275862,-0.0010000000000000078,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2003-08-01,2003-08,2003,8,122638.0,157.32905708787683,0.14,2000-01-01,1,UK average house price,Index: house price,GBP
2003-08-01,2003-08,2003,8,352.0,115.40983606557378,0.032258064516129004,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2003-08-01,2003-08,2003,8,0.05,86.20689655172414,-0.0029999999999999957,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2003-09-01,2003-09,2003,9,122265.0,156.8505452212957,0.11,2000-01-01,1,UK average house price,Index: house price,GBP
2003-09-01,2003-09,2003,9,355.0,116.39344262295081,0.03801169590643272,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2003-09-01,2003-09,2003,9,0.05,86.20689655172414,-0.0020000000000000018,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2003-10-01,2003-10,2003,10,124408.0,159.5997434252726,0.121,2000-01-01,1,UK average house price,Index: house price,GBP
2003-10-01,2003-10,2003,10,356.0,116.72131147540983,0.040935672514619936,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2003-10-01,2003-10,2003,10,0.049,84.48275862068967,-0.0030000000000000027,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2003-11-01,2003-11,2003,11,123010.0,157.80628608082102,0.09699999999999999,2000-01-01,1,UK average house price,Index: house price,GBP
2003-11-01,2003-11,2003,11,357.0,117.04918032786887,0.04081632653061229,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2003-11-01,2003-11,2003,11,0.049,84.48275862068967,-0.001999999999999995,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2003-12-01,2003-12,2003,12,125433.0,160.91468890314303,0.083,2000-01-01,1,UK average house price,Index: house price,GBP
2003-12-01,2003-12,2003,12,357.0,117.04918032786887,0.04081632653061229,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2003-12-01,2003-12,2003,12,0.048,82.75862068965519,-0.0020000000000000018,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2004-01-01,2004-01,2004,1,126179.0,161.87171263630532,0.09699999999999999,2000-01-01,1,UK average house price,Index: house price,GBP
2004-01-01,2004-01,2004,1,364.0,119.34426229508198,0.07374631268436582,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2004-01-01,2004-01,2004,1,0.048,82.75862068965519,-0.0029999999999999957,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2004-02-01,2004-02,2004,2,124967.0,160.31686978832585,0.098,2000-01-01,1,UK average house price,Index: house price,GBP
